author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Стадион Спартак,developer,https://www.cian.ru/sale/flat/309288316/,Москва,sale,flat,2,13,1,41.0,-1,0,23271600.0,Покровское-Стрешнево,,,Спартак,Клубный Город на Реке Примавера ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/313946912/,Москва,sale,flat,2,7,2,137.1,-1,0,630000000.0,Пресненский,Малая Бронная ,15,Пушкинская,Малая Бронная 15
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/317644660/,Москва,sale,flat,5,5,3,85.0,-1,0,29000000.0,Пресненский,Шмитовский проезд,15/5,Москва-Сити,
MR Group,developer,https://www.cian.ru/sale/flat/308088559/,Москва,sale,flat,3,7,1,78.34,-1,0,195850000.0,Арбат,Крестовоздвиженский переулок,4,Арбатская,LUCE
ID 29759843,realtor,https://www.cian.ru/sale/flat/317757131/,Москва,sale,flat,2,21,3,62.0,-1,0,60900000.0,Хорошевский,Хорошевское шоссе,25Ак3,Хорошёвская,Династия
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/315973059/,Москва,sale,flat,11,13,3,149.2,-1,0,280000000.0,Хамовники, Усачева,11Б,Спортивная,Садовые кварталы
Донстрой,developer,https://www.cian.ru/sale/flat/317431792/,Москва,sale,flat,39,50,3,102.1,-1,0,,Раменки,м. Мичуринский проспект,,Мичуринский проспект,Событие
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/316634002/,Москва,sale,flat,33,41,2,72.8,-1,0,67900000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
Доступная Недвижимость. 8 отдел,real_estate_agent,https://www.cian.ru/sale/flat/317616898/,Москва,sale,flat,5,25,2,59.3,-1,0,16950000.0,, Никитина,11к9,Рассказовка,Город-парк Первый Московский
КОРТРОС,developer,https://www.cian.ru/sale/flat/296640175/,Москва,sale,flat,5,49,3,79.14,-1,0,34987912.0,Марьина роща,,,Марьина Роща,Тэйт ЖК
ID 1390606,real_estate_agent,https://www.cian.ru/sale/flat/317509570/,Москва,sale,flat,4,11,3,116.0,-1,0,349000000.0,Хамовники, Усачева,13,Спортивная,Садовые кварталы
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/317756122/,Москва,sale,flat,5,6,3,96.0,-1,0,130000000.0,Пресненский,Малая Бронная ,21/13С2,Тверская,
КОРТРОС,developer,https://www.cian.ru/sale/flat/296640089/,Москва,sale,flat,3,49,2,61.31,-1,0,26734225.0,Марьина роща,,,Марьина Роща,Тэйт ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/317596818/,Москва,sale,flat,24,36,2,71.8,-1,0,68500000.0,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
ID 67649507,unknown,https://www.cian.ru/sale/flat/317323132/,Москва,sale,flat,11,13,2,50.0,-1,0,32700000.0,Таганский,Верхняя Сыромятническая ,2,Чкаловская,
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/313640113/,Москва,sale,flat,6,41,1,40.1,-1,0,35500000.0,Хорошевский,Ленинградский проспект,37/5,Аэропорт,Прайм Парк
NF GROUP,real_estate_agent,https://www.cian.ru/sale/flat/307962802/,Москва,sale,flat,9,38,3,66.1,-1,0,30000000.0,Хорошевский,Хорошевское шоссе,12к1,Беговая,Дом на Беговой
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/311248696/,Москва,sale,flat,2,7,3,137.1,-1,0,630000000.0,Пресненский,Малая Бронная ,15Б,Пушкинская,Малая Бронная 15
ID 72053763,unknown,https://www.cian.ru/sale/flat/315687905/,Москва,sale,flat,14,16,2,63.0,-1,0,29900000.0,Тропарево-Никулино, 26 Бакинских Комиссаров,8к6,Юго-Западная,
Hutton Development,developer,https://www.cian.ru/sale/flat/305627366/,Москва,sale,flat,8,17,3,142.1,-1,0,95207000.0,Гагаринский,Ленинский проспект,38Ак1,Ленинский проспект,Lunar
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/316892773/,Москва,sale,flat,3,7,3,115.4,-1,0,219500000.0,Пресненский,Хлыновский тупик,4,Арбатская,
Спутник,real_estate_agent,https://www.cian.ru/sale/flat/317247120/,Москва,sale,flat,5,9,2,57.2,-1,0,21000000.0,Преображенское,Просторная ,6,Преображенская площадь,
MR Group,developer,https://www.cian.ru/sale/flat/309402352/,Москва,sale,flat,7,24,1,35.76,-1,0,,Алексеевский,,,Улица Сергея Эйзенштейна,Мира ЖК
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/305002437/,Москва,sale,flat,8,14,3,125.2,-1,0,96500000.0,Стильная кв-ра в Пресненском е3-комн. квартира,8/14 этаж,,,
Спутник,real_estate_agent,https://www.cian.ru/sale/flat/317779859/,Москва,sale,flat,9,17,2,47.3,-1,0,15000000.0,Ховрино,Флотская ,13К3,Грачёвская,
FORMA,developer,https://www.cian.ru/sale/flat/317213289/,Москва,sale,flat,2,21,1,30.0,-1,0,14094000.0,Даниловский,2-й Павелецкий проезд,7С7,Павелецкая,PAVE
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/315756080/,Москва,sale,flat,5,18,2,96.0,-1,0,84000000.0,Элегантная кв-ра в е Пресни2-комн. квартира,96 м²,,,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/317079893/,Москва,sale,flat,11,17,2,57.4,-1,0,15700000.0,Можайский,Витебская ,5,Рабочий посёлок,
Sminex,developer,https://www.cian.ru/sale/flat/316363057/,Москва,sale,flat,2,14,3,96.2,-1,0,138370000.0,Пресненский,,,Белорусская,Тишинский Бульвар ЖК
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/309118638/,Москва,sale,flat,14,15,3,133.91,-1,0,227647000.0,Хамовники, Усачева,15,Спортивная,Садовые кварталы
СМАРЕНТ,real_estate_agent,https://www.cian.ru/sale/flat/316986280/,Москва,sale,flat,2,22,3,73.4,-1,0,19900000.0,Орехово-Борисово Северное,Борисовский проезд,1К2,Домодедовская,
Концерн КРОСТ,developer,https://www.cian.ru/sale/flat/315687039/,Москва,sale,flat,14,28,3,76.0,-1,0,32908000.0,Хорошево-Мневники, Генерала Глаголева,,Карамышевская,CRYSTAL Трилогия
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/313296107/,Москва,sale,flat,5,13,2,107.0,-1,0,229900000.0,Хамовники,Погодинская ,2,Фрунзенская,Жизнь на Плющихе
Наталья Новикова,realtor,https://www.cian.ru/sale/flat/317750779/,Москва,sale,flat,4,11,1,41.7,-1,0,14990000.0,, Малое Понизовье,10,Филатов Луг,Саларьево парк
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/313034914/,Москва,sale,flat,2,25,2,62.2,-1,0,,Соколиная гора,,,Соколиная гора,Семеновский Парк 2 ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/316186331/,Москва,sale,flat,4,13,3,186.0,-1,0,316200000.0,Хамовники,Погодинская ,2,Киевская,Жизнь на Плющихе
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/317566170/,Москва,sale,flat,3,23,3,104.0,-1,0,38400000.0,Хорошево-Мневники, Народного Ополчения,11,Народное Ополчение,Wellton park
Sminex,developer,https://www.cian.ru/sale/flat/316493071/,Москва,sale,flat,16,21,2,60.3,-1,0,36430000.0,Марфино, Академика Королева,21,Бутырская,Дом Достижение
СМАРЕНТ,real_estate_agent,https://www.cian.ru/sale/flat/317809522/,Москва,sale,flat,4,21,2,89.0,-1,0,47990000.0,Левобережный,,,Беломорская,Северный порт ЖК
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/313852078/,Москва,sale,flat,2,11,3,103.0,-1,0,62900000.0,Арбат,Смоленская набережная,2А,Смоленская,
Мангазея,developer,https://www.cian.ru/sale/flat/313175689/,Москва,sale,flat,7,21,3,98.9,-1,0,,Щукино,Щукинская ,3,Стрешнево,Интонация
