price,district,underground,street,house_number,floor,floors_count,total_meters,rooms_count,residential_complex,url
73000000.0,Хамовники,Кропоткинская,Пожарский переулок,10,1,5,80.0,3,,https://www.cian.ru/sale/flat/317643899/
16600000.0,Богородское,Бульвар Рокоссовского,Открытое шоссе,14Д,6,29,34.7,1,Талисман на Рокоссовского,https://www.cian.ru/sale/flat/314102202/
145000000.0,Пресненский,Улица 1905 года, Костикова,4к2,18,21,121.7,3,Lucky,https://www.cian.ru/sale/flat/317518074/
26400000.0,Можайский,Давыдково, Петра Алексеева,14,20,31,56.0,3,Кутузов Град,https://www.cian.ru/sale/flat/314290246/
195720000.0,Тверской,Площадь Революции,Большой Черкасский переулок,2/10,3,7,69.9,1,Nicole,https://www.cian.ru/sale/flat/316498995/
335000000.0,Хамовники,Спортивная, Усачева,15А,7,12,108.0,3,Садовые кварталы,https://www.cian.ru/sale/flat/312078749/
8624333.0,,Филатов Луг,,3,3,20,32.9,1,Город-парк Первый Московский,https://www.cian.ru/sale/flat/314672653/
26504991.0,Даниловский,Тульская,,к13,3,20,59.6,3,Павелецкая Сити ЖК,https://www.cian.ru/sale/flat/317029734/
49990000.0,Раменки,Кутузовская,1-й Сетуньский проезд,8,39,41,80.0,3,Hide,https://www.cian.ru/sale/flat/316171447/
23100000.0,Можайский,Давыдково,,к5,5,35,45.8,2,Родина Парк ЖК,https://www.cian.ru/sale/flat/317604312/
59000000.0,Якиманка,Октябрьская,Мытная ,40к4,8,28,60.0,2,Sky House,https://www.cian.ru/sale/flat/315347213/
49000000.0,Хорошево-Мневники,Шелепиха,Шелепихинская набережная,34к3,8,36,65.7,3,Сердце Столицы,https://www.cian.ru/sale/flat/316449363/
,Даниловский,Павелецкая,Дербеневская ,1С5,6,11,85.8,3,"Клубный дом ""OPUS""",https://www.cian.ru/sale/flat/313114585/
299000000.0,Хамовники,Киевская,Погодинская ,2,3,13,142.1,3,Жизнь на Плющихе,https://www.cian.ru/sale/flat/316795424/
,Хорошево-Мневники,Терехово ,проезд Проектируемый № 1077,,14,22,56.9,2,Остров,https://www.cian.ru/sale/flat/317432031/
69900000.0,Хорошево-Мневники,Серебряный Бор,Живописная ,21А,13,22,105.0,3,Дом Серебряный Бор,https://www.cian.ru/sale/flat/316161197/
419420000.0,Басманный,Чистые пруды,Потаповский переулок,5С4,3,6,170.9,3,Исторический дом ,https://www.cian.ru/sale/flat/313246215/
127900000.0,Пресненский,Улица 1905 года, Климашкина,17С2,7,10,180.0,3,Панорама,https://www.cian.ru/sale/flat/312247388/
,Хорошево-Мневники,Хорошёво,Шелепихинская набережная,38к8,2,8,67.8,2,Sydney Prime,https://www.cian.ru/sale/flat/307688647/
24500000.0,Хорошево-Мневники,Шелепиха,Причальный проезд,10к2,9,32,35.0,1,Level Причальный,https://www.cian.ru/sale/flat/317618269/
32158107.0,Котловка,Нагорная,Севастопольский проспект,22А,9,42,63.3,3,Eniteo,https://www.cian.ru/sale/flat/301259883/
128000000.0,Пресненский,Улица 1905 года, Климашкина,17С2,7,10,177.5,3,Панорама,https://www.cian.ru/sale/flat/315095998/
88508348.0,Мещанский,Цветной бульвар,Садовая-Сухаревская ,14,7,13,46.81,1,Клубный дом Forum,https://www.cian.ru/sale/flat/315159389/
357500000.0,Тверской,Савёловская, Большая Дмитровка,7/5С2,5,7,116.8,3,Советник,https://www.cian.ru/sale/flat/303727554/
33276840.0,Марьина роща,Марьина Роща, 4-я Марьиной рощи,12К3,5,44,64.49,2,Mod,https://www.cian.ru/sale/flat/316085639/
57000000.0,Раменки,Поклонная,проспект Генерала Дорохова,39к1Б,9,14,67.0,2,Собрание клубных домов West Garden,https://www.cian.ru/sale/flat/311033212/
466498500.0,Арбат,Арбатская,Крестовоздвиженский переулок,4,2,7,198.51,3,LUCE,https://www.cian.ru/sale/flat/308088545/
57700000.0,Черемушки,Зюзино,Севастопольский проспект,28к8,7,24,112.7,3,,https://www.cian.ru/sale/flat/313904358/
29836800.0,Преображенское,Преображенская площадь,Электрозаводская ,60,4,12,50.4,2,ARTEL,https://www.cian.ru/sale/flat/300878826/
73000000.0,Хамовники,Кропоткинская,Пожарский переулок,10,1,5,78.4,3,,https://www.cian.ru/sale/flat/311242296/
93744000.0,Замоскворечье,Новокузнецкая,Большая Татарская ,,2,19,94.5,2,Татарская 35,https://www.cian.ru/sale/flat/317175222/
95000000.0,Раменки,Ломоносовский проспект,Мосфильмовская ,8,17,53,102.0,3,Дом на Мосфильмовской,https://www.cian.ru/sale/flat/303267485/
